Date,Open,High,Low,Close,Volume
2000-01-31,107.3960037,119.1569977,104.7099991,107.2170029,175263900
2000-02-29,107.336998,114.3809967,96.41190338,98.14309692,133527900
2000-03-31,97.42669678,122.5,95.0388031,113.0670013,194328700
2000-04-28,114.6200027,122.2610016,96.71040344,106.5009995,168220300
2000-05-31,107.4560013,108.5309982,97.42669678,102.5009995,123803300
2000-06-30,102.7399979,116.8280029,100.7699966,104.6500015,136216300
2000-07-31,103.8740005,112.5299988,95.5164032,107.2170029,150130400
2000-08-31,106.9779968,128.2310028,105.3069992,126.0999985,121998000
2000-09-29,127.0960007,128.8869934,105.3069992,107.5749969,107469900
2000-10-31,107.5749969,114.2610016,83.03959656,94.08370209,223515100
2000-11-30,94.02400208,99.69519806,87.39749908,89.30780029,130411900
2000-12-29,90.20330048,100.0530014,76.47280121,81.18890381,167790100
2001-01-31,80.71140289,111.5149994,79.99500275,106.9779968,198942600
2001-02-28,107.3600006,113.3209991,94.65679932,95.42089844,156441400
2001-03-30,94.84780121,103.5400009,83.7201004,91.86769867,240092900
2001-04-30,93.08070374,112.7570038,86.01249695,109.9779968,226308600
2001-05-31,110.6559982,114.5240021,105.9850006,106.7870026,159395700
2001-06-29,107.4560013,113.6640015,106.1190033,107.9339981,143055700
2001-07-31,108.4110031,110.2259979,97.00650024,100.4929962,161046100
2001-08-31,100.6269989,105.1539993,94.42749786,95.46859741,143518000
2001-09-28,95.65969849,98.50610352,83.56729889,87.60759735,189256500
2001-10-31,87.60759735,107.0739975,87.24469757,103.2249985,224536400
2001-11-30,102.4410019,111.7539978,102.1070023,110.4069977,130885600
2001-12-31,109.6529999,119.1090012,108.1340027,115.5370026,133524900
2002-01-31,115.1930008,120.7229996,96.47160339,103.0530014,193595000
2002-02-28,102.814003,104.3990021,91.46649933,93.72070313,172393500
2002-03-28,94.17919922,103.9700012,94.08370209,99.33709717,151867000
2002-04-30,99.33709717,99.33709717,79.60340118,80.00450134,246541700
2002-05-31,80.09049988,82.61209869,72.51609802,76.84290314,172741000
2002-06-28,77.12950134,77.32050323,63.13629913,68.77179718,192493500
2002-07-31,68.78140259,70.87319946,62.75429916,67.24349976,246326000
2002-08-30,67.24349976,79.13529968,62.89759827,72.00029755,166192200
2002-09-30,70.87319946,74.02519989,55.38999939,55.6955986,185683600
2002-10-31,56.54570007,76.21250153,51.58840179,75.40059662,286123200
2002-11-29,75.36239624,84.167099,73.26110077,83.02290344,184443600
2002-12-31,84.62750244,85.4489975,72.21040344,74.02519989,151641500
2003-01-31,75.26689911,84.96179962,73.5667038,74.69380188,194168300
2003-02-28,74.69380188,76.46089935,70.97820282,74.45500183,145685500
2003-03-31,75.36239624,81.09339905,69.88929749,74.91349792,192061700
2003-04-30,74.98040009,82.61209869,74.61740112,81.09339905,178021500
2003-05-30,81.47550201,86.35070038,80.66359711,84.09259796,149592000
2003-06-30,85.00959778,85.08599854,76.2315979,78.8010025,187718400
2003-07-31,78.84880066,83.13079834,76.96710205,77.60710144,153751200
2003-08-29,77.51159668,80.92150116,75.20010376,78.33300018,113869000
2003-09-30,78.70549774,89.27919769,78.61000061,84.36959839,172078200
2003-10-31,84.77079773,90.30120087,83.60549927,85.4681015,156091500
2003-11-28,85.86920166,87.37840271,83.78700256,86.48049927,98003442
2003-12-31,86.82440186,89.90000153,85.99680328,88.52459717,116067600
2004-01-30,88.69650269,95.37310028,85.01909637,94.78089905,139490900
2004-02-27,94.70449829,95.92710114,90.93160248,92.1733017,97638600
2004-03-31,92.1733017,93.22399902,86.23220062,87.72229767,124628900
2004-04-30,87.55989838,90.31079865,84.06400299,84.21679688,110656400
2004-05-28,84.1785965,85.72599792,81.3035965,84.61799622,104710900
2004-06-30,84.05439758,87.12049866,83.38580322,84.1977005,92125800
2004-07-30,84.32189941,84.47470093,79.67980194,83.16609955,121182100
2004-08-31,82.97509766,83.47180176,78.22789764,80.89279938,91798800
2004-09-30,80.28150177,83.36669922,79.50789642,81.89579773,93856500
2004-10-29,82.0963974,86.22270203,80.51080322,85.72599792,118661700
2004-11-30,85.32479858,92.29750061,85.22930145,90.01470184,114998100
2004-12-31,90.26300049,94.561203,90.23429871,94.16010284,108228400
2005-01-31,94.5326004,94.65679932,87.34020233,89.23139954,114808700
2005-02-28,89.47019958,90.7118988,87.44529724,88.42910004,80275800
2005-03-31,88.48639679,89.52749634,85.09559631,87.28289795,107509100
2005-04-29,87.38800049,87.64579773,68.62850189,72.95539856,217567700
2005-05-31,73.43299866,74.60790253,69.24939728,72.16259766,139155000
2005-06-30,72.18170166,74.24490356,70.15679932,70.87319946,137364200
2005-07-29,70.96869659,81.29399872,70.83499908,79.71800232,157199500
2005-08-31,79.2786026,80.42479706,76.28890228,77.00530243,105038000
2005-09-30,76.56600189,78.42849731,73.48079681,76.62329865,115406900
2005-10-31,76.62329865,80.80690002,75.17140198,78.20880127,140319900
2005-11-30,78.18019867,85.90740204,77.0243988,84.91410065,110875800
2005-12-30,85.1529007,85.88839722,77.90319824,78.51450348,120246500
2006-01-31,78.75330353,81.21759796,76.61370087,77.65480042,146611300
2006-02-28,77.27279663,78.55269623,75.39109802,76.64240265,111061200
2006-03-31,76.60420227,81.17939758,75.94509888,78.7723999,111811000
2006-04-28,79.01119995,80.66359711,77.01490021,78.64820099,112838900
2006-05-31,78.88700104,79.93769836,75.51529694,76.31759644,113229200
2006-06-30,76.30799866,77.24410248,72.64980316,73.3757019,139466700
2006-07-31,74.06340027,75.00900269,69.46910095,73.93930054,137227700
2006-08-31,73.21330261,78.01779938,71.54180145,77.33959961,100866900
2006-09-29,77.49250031,80.03320313,75.75409698,78.26609802,103028700
2006-10-31,78.09420013,88.52459717,77.90319824,88.19029999,170219200
2006-11-30,88.35269928,89.83319855,86.37550354,87.79869843,104437100
2006-12-29,87.77960205,93.49150085,86.49009705,92.79419708,104553600
2007-01-31,92.82279968,96.37609863,90.31079865,94.70449829,192877900
2007-02-28,94.5326004,95.93669891,88.3239975,88.77290344,125984882
2007-03-30,86.20359802,91.51429749,84.78990173,90.03379822,163514151
2007-04-30,90.27249908,98.38189697,89.70040131,97.62729645,166873167
2007-05-31,97.48400116,103.2050018,96.80590057,101.8209991,146745877
2007-06-29,101.8399963,102.4319992,97.00650024,100.5309982,169670226
2007-07-31,100.6650009,113.4929962,99.89109802,105.689003,212832938
